BTC-USD
ETH-USD
LTC-USD
ADA-USD
SOL-USD
DOT-USD
DOGE-USD
UNI-USD
LINK-USD
XLM-USD
MATIC-USD
AAVE-USD
BCH-USD
ETC-USD
XTZ-USD
FIL-USD
EOS-USD
ATOM-USD
ALGO-USD
